"","file","select_ref_id","num_cell","numlayer_output","K_kmeans_silhouette","K_GMM_BIC","K_Gap","K_dbscan"
"247","025_part_1_patch_3",2,400,13,30,5,5,18
"248","025_part_1_patch_4",1,298,9,35,6,22,18
"249","025_part_1_patch_5",2,386,11,34,5,6,13
"250","026_part_1_patch_1",1,448,10,32,7,15,4
"251","026_part_1_patch_2",2,877,11,5,7,19,6
"252","026_part_2_patch_1",1,707,18,30,5,7,23
"253","026_part_2_patch_2",2,610,15,32,5,6,29
"254","026_part_2_patch_3",2,475,14,34,5,28,39
"255","027_part_1_patch_1",1,577,10,5,6,9,10
"256","027_part_1_patch_2",1,378,8,35,5,28,8
"257","030_part_1_patch_1",1,859,14,28,5,18,6
"258","030_part_1_patch_2",2,1652,22,33,5,5,9
"259","030_part_1_patch_3",2,1102,20,35,5,5,7
"260","030_part_1_patch_4",1,501,16,5,6,9,15
"261","030_part_1_patch_5",2,678,13,28,5,7,9
"262","030_part_2_patch_1",2,1249,20,8,5,5,16
"263","030_part_2_patch_2",2,973,18,20,5,5,14
"264","030_part_2_patch_3",2,659,14,35,5,6,13
"265","030_part_2_patch_4",2,1109,21,5,5,5,55
"266","031-1_part_1_patch_1",1,708,15,5,7,6,18
"267","031-1_part_1_patch_2",1,772,13,5,11,5,21
"268","031-1_part_2_patch_1",1,552,12,5,7,20,21
"269","031-1_part_3_patch_1",1,804,11,5,10,20,14
"270","031-1_part_3_patch_2",1,713,17,5,16,5,19
"271","031-1_part_4_patch_1",1,877,17,7,8,5,19
"272","031_part_1_patch_1",2,546,11,5,10,11,5
"273","031_part_1_patch_2",2,586,10,5,8,7,13
"274","031_part_2_patch_1",2,523,12,5,10,12,15
"275","031_part_2_patch_2",2,505,10,5,7,20,12
"276","031_part_3_patch_1",2,549,15,5,6,35,13
"277","031_part_3_patch_2",2,663,14,28,6,32,17
"278","031_part_4_patch_1",2,536,10,5,8,34,6
"279","031_part_4_patch_2",2,570,12,6,9,17,12
"280","032-1_part_1_patch_1",1,476,12,5,6,30,15
"281","032-1_part_1_patch_2",1,536,15,5,7,6,28
"282","032-1_part_2_patch_1",1,414,14,5,5,5,18
"283","032-1_part_2_patch_2",1,269,13,5,6,13,12
"284","033_part_1_patch_1",1,1961,22,5,5,5,4
"285","033_part_1_patch_2",1,1449,20,35,8,6,14
"286","034-1_part_1_patch_1",2,323,12,5,7,35,9
"287","034-1_part_1_patch_2",2,375,12,30,8,35,18
"288","034-1_part_2_patch_1",2,582,13,29,5,28,21
"289","034-1_part_2_patch_2",2,189,10,5,5,24,11
"290","034-1_part_3_patch_1",2,551,13,15,6,20,8
"291","034-1_part_4_patch_1",1,397,12,6,6,10,9
"292","034-1_part_4_patch_2",1,389,12,5,7,6,9
"293","034-1_part_4_patch_3",2,473,16,26,5,28,19
"294","034-1_part_4_patch_4",1,649,17,33,5,27,25
"295","034-1_part_4_patch_5",1,592,15,5,5,6,24
"296","034-1_part_5_patch_1",2,263,8,33,5,7,12
"297","034-1_part_5_patch_2",2,338,9,35,5,5,13
"298","034-1_part_5_patch_3",1,390,11,5,5,5,19
"299","034-1_part_5_patch_4",1,459,15,32,5,5,13
"300","034-1_part_5_patch_5",2,346,11,5,6,19,6
"301","034-1_part_6_patch_1",1,457,12,29,6,32,15
"302","034_part_1_patch_1",2,428,11,5,7,13,13
"303","034_part_1_patch_2",2,657,12,15,5,18,12
"304","034_part_2_patch_1",1,495,11,5,9,16,10
"305","035_part_1_patch_1",1,352,11,13,5,31,12
"306","035_part_1_patch_2",1,342,11,34,6,9,10
"307","036-1_part_1_patch_1",1,521,13,5,9,30,19
"308","036-1_part_2_patch_1",1,596,15,31,5,21,25
"309","036-1_part_2_patch_2",1,393,11,16,5,26,10
"310","036_part_1_patch_1",2,1096,22,5,9,5,70
"311","036_part_1_patch_2",2,428,13,32,5,6,29
"312","036_part_1_patch_3",1,383,13,22,5,16,16
"313","036_part_1_patch_4",1,421,12,29,5,32,23
"314","037_part_1_patch_1",1,429,7,7,5,12,3
"315","037_part_1_patch_2",1,438,6,32,7,34,7
"316","037_part_1_patch_3",1,523,11,23,8,22,11
"317","041_part_1_patch_1",2,383,13,5,7,6,13
"318","042_part_1_patch_1",2,612,13,35,6,20,16
"319","042_part_1_patch_2",2,625,13,5,9,15,12
"320","043_part_1_patch_1",2,355,10,17,5,6,14
"321","043_part_1_patch_2",2,405,12,25,5,20,13
"322","043_part_1_patch_3",2,417,13,27,5,30,19
"323","043_part_1_patch_4",2,467,14,6,5,5,21
"324","044_part_1_patch_1",2,395,11,6,6,22,9
"325","044_part_1_patch_2",2,353,9,14,5,13,8
"326","044_part_1_patch_3",1,390,12,19,5,18,15
"327","044_part_2_patch_1",2,699,15,5,6,7,13
"328","044_part_2_patch_2",2,445,10,6,7,13,15
"329","044_part_3_patch_1",2,701,15,25,6,22,16
"330","044_part_3_patch_2",2,625,16,5,7,26,15
"331","044_part_3_patch_3",2,962,18,6,9,6,34
"332","045_part_1_patch_1",2,700,14,5,8,18,19
"333","045_part_1_patch_2",2,566,14,24,7,20,21
"334","045_part_2_patch_1",1,689,18,33,5,5,16
"335","045_part_2_patch_2",1,582,14,5,5,5,16
"336","045_part_2_patch_3",2,625,14,19,5,5,23
"337","045_part_2_patch_4",2,734,19,5,5,5,47
"338","045_part_2_patch_5",2,707,21,35,5,5,35
"339","046_part_1_patch_1",2,876,16,6,14,20,13
"340","046_part_1_patch_2",2,763,11,5,11,10,10
"341","047_part_1_patch_1",2,330,9,31,6,9,8
"342","047_part_1_patch_2",2,318,10,28,5,12,6
"343","048_part_1_patch_1",1,443,15,34,5,5,23
"344","048_part_1_patch_2",1,753,15,5,5,8,26
"345","048_part_2_patch_1",1,1335,19,5,7,13,34
"346","048_part_2_patch_2",1,801,20,5,7,9,47
"347","050_part_1_patch_1",2,543,15,28,7,29,11
"348","050_part_1_patch_2",1,613,12,26,6,22,11
"349","050_part_1_patch_3",2,479,12,25,5,17,14
"350","050_part_1_patch_4",1,792,15,26,5,33,13
"351","050_part_1_patch_5",2,391,10,29,6,8,9
"352","054_part_1_patch_1",2,457,15,30,5,7,12
"353","054_part_1_patch_2",2,582,14,21,5,5,11
"354","054_part_1_patch_3",1,534,13,33,5,13,10
"355","054_part_2_patch_1",1,751,11,25,6,30,6
"356","054_part_2_patch_2",1,1101,13,15,7,16,3
"357","056_part_1_patch_1",2,231,10,5,6,5,13
"358","056_part_1_patch_2",2,534,11,5,5,5,18
"359","056_part_1_patch_3",1,409,10,31,8,11,5
"360","057_part_1_patch_1",1,478,13,6,6,34,18
"361","057_part_2_patch_1",2,789,17,6,7,27,24
"362","060_part_1_patch_1",1,547,13,34,5,14,8
"363","060_part_1_patch_2",1,647,12,19,5,19,5
"364","060_part_1_patch_3",1,795,15,33,5,6,12
"365","060_part_1_patch_4",1,721,15,5,7,5,9
"366","061_part_1_patch_1",2,899,22,5,12,9,45
"367","061_part_1_patch_2",1,1671,21,5,11,6,54
"368","061_part_1_patch_3",1,1396,22,5,12,5,52
"369","061_part_2_patch_1",1,1746,13,5,11,16,9
"370","061_part_2_patch_2",1,895,13,5,9,29,17
"371","061_part_3_patch_1",1,375,11,30,5,32,13
"372","061_part_3_patch_2",1,833,14,34,6,26,10
"373","063_part_1_patch_1",2,892,15,26,5,5,10
"374","063_part_1_patch_2",2,699,14,32,5,7,19
"375","063_part_1_patch_3",2,672,15,5,5,5,21
"376","063_part_1_patch_4",2,365,11,23,5,5,20
"377","065_part_1_patch_1",2,511,19,5,5,5,38
"378","065_part_1_patch_2",2,552,15,5,6,7,25
"379","065_part_1_patch_3",1,763,19,5,7,34,47
"380","065_part_1_patch_4",1,1186,23,5,8,5,58
"381","065_part_3_patch_1",1,702,15,5,5,34,32
"382","065_part_3_patch_2",1,591,14,5,8,10,13
"383","065_part_3_patch_3",2,767,23,5,5,5,51
"384","065_part_3_patch_4",1,1175,20,5,6,6,34
"385","067_part_1_patch_1",1,736,12,5,6,5,13
"386","067_part_2_patch_1",1,401,11,26,5,34,15
"387","069_part_1_patch_1",1,560,13,33,7,26,10
"388","069_part_1_patch_2",1,661,11,27,5,8,2
"389","070_part_1_patch_1",2,639,17,5,7,5,16
"390","070_part_1_patch_2",2,793,20,30,5,5,10
"391","070_part_1_patch_3",2,755,15,30,5,28,20
"392","070_part_1_patch_4",2,514,13,5,5,5,19
"393","070_part_1_patch_5",2,593,17,34,5,35,34
"394","070_part_2_patch_1",2,364,11,5,7,32,18
"395","070_part_2_patch_2",2,403,11,5,5,5,11
"396","070_part_3_patch_1",2,328,14,30,5,5,15
"397","070_part_3_patch_2",2,238,9,30,5,19,6
"398","070_part_3_patch_3",2,206,10,14,5,16,5
"399","070_part_4_patch_1",2,437,12,29,5,24,18
"400","070_part_4_patch_2",2,576,13,16,6,5,13
"401","070_part_4_patch_3",2,639,14,33,5,5,20
"402","071_part_1_patch_1",2,1070,17,5,15,12,20
"403","071_part_1_patch_2",2,1251,13,5,18,11,25
"404","071_part_2_patch_1",2,1113,17,30,5,5,17
"405","071_part_2_patch_2",2,1342,22,5,5,6,26
"406","071_part_2_patch_3",2,1348,26,34,5,5,31
"407","071_part_2_patch_4",2,1036,18,32,5,5,24
"408","071_part_2_patch_5",2,829,12,33,6,30,9
"409","071_part_3_patch_1",2,1121,18,32,5,5,20
"410","071_part_3_patch_2",2,1024,18,25,5,5,25
"411","071_part_3_patch_3",2,802,14,5,5,6,13
"412","071_part_3_patch_4",2,478,12,33,6,20,9
"413","072_part_1_patch_1",2,315,8,35,5,30,7
"414","072_part_1_patch_2",2,311,8,35,5,34,3
"415","072_part_2_patch_1",1,1036,15,5,8,10,8
"416","072_part_2_patch_2",1,1148,17,5,8,5,9
"417","072_part_3_patch_1",2,573,9,31,5,5,7
"418","072_part_4_patch_1",1,294,9,33,5,5,7
"419","072_part_4_patch_2",1,363,10,30,5,24,8
"420","072_part_4_patch_3",2,399,13,29,5,6,16
"421","072_part_4_patch_4",1,175,9,26,5,31,4
"422","072_part_4_patch_5",2,285,8,34,5,34,7
"423","072_part_5_patch_1",1,489,10,35,7,22,12
"424","072_part_5_patch_2",1,597,11,5,9,30,11
"425","072_part_6_patch_1",2,924,13,5,8,5,11
"426","072_part_6_patch_2",2,789,18,5,5,5,31
"427","073_part_1_patch_1",1,734,10,12,6,18,3
"428","073_part_1_patch_2",1,564,10,9,5,5,3
"429","074_part_1_patch_1",1,429,12,5,6,30,12
"430","074_part_1_patch_2",1,663,19,30,5,19,26
"431","075_part_1_patch_1",2,449,8,27,5,5,3
"432","075_part_1_patch_2",1,306,8,5,5,23,4
"433","075_part_1_patch_3",1,426,9,22,5,5,12
"434","076_part_1_patch_1",1,690,20,6,7,6,46
"435","076_part_1_patch_2",1,1070,21,5,7,11,52
"436","076_part_1_patch_3",1,1240,17,5,12,5,17
"437","076_part_2_patch_1",1,779,17,34,5,8,35
"438","076_part_2_patch_2",1,753,16,5,5,5,20
"439","076_part_2_patch_3",1,865,19,33,5,7,21
"440","076_part_2_patch_4",1,1645,24,5,7,6,36
"441","076_part_3_patch_1",1,1060,20,5,12,26,18
"442","076_part_3_patch_2",1,1181,17,5,7,6,15
"443","076_part_3_patch_3",1,972,20,5,9,33,17
"444","076_part_4_patch_1",1,1093,15,5,9,30,16
"445","076_part_4_patch_2",1,1265,16,5,11,12,32
"446","076_part_4_patch_3",1,1226,14,5,10,5,16
"447","076_part_5_patch_1",1,766,15,5,8,5,22
"448","076_part_5_patch_2",1,1041,16,5,12,20,22
"449","077_part_1_patch_1",2,187,10,13,5,25,5
"450","077_part_2_patch_1",2,211,12,5,5,5,7
"451","080_part_1_patch_1",2,559,12,5,7,15,14
"452","080_part_1_patch_2",1,577,10,6,8,10,10
"453","080_part_2_patch_1",1,531,11,5,9,13,14
"454","080_part_2_patch_2",1,375,10,5,7,13,8
"455","080_part_2_patch_3",1,518,9,5,5,27,8
"456","080_part_3_patch_1",2,540,13,30,6,5,10
"457","080_part_3_patch_2",1,690,16,30,5,15,16
"458","080_part_3_patch_3",2,675,14,33,5,35,18
"459","080_part_4_patch_1",1,683,11,5,6,20,3
"460","080_part_4_patch_2",1,738,13,5,5,5,20
"461","081_part_1_patch_1",2,680,15,7,5,24,21
"462","081_part_2_patch_1",2,586,14,5,6,31,25
"463","081_part_2_patch_2",2,578,15,6,6,19,33
"464","083_part_1_patch_1",2,309,9,17,7,27,6
"465","083_part_1_patch_2",2,581,8,35,5,17,5
"466","084_part_1_patch_1",1,890,11,7,13,7,13
"467","084_part_1_patch_2",1,360,10,5,6,16,7
"468","084_part_1_patch_3",1,1205,13,5,5,5,4
"469","084_part_1_patch_4",1,891,12,33,6,7,4
"470","086_part_1_patch_1",1,775,12,5,9,16,4
"471","086_part_1_patch_2",1,668,10,5,9,32,12
"472","086_part_2_patch_1",1,525,10,5,5,24,6
"473","088_part_1_patch_1",1,400,8,28,6,22,6
"474","088_part_1_patch_2",1,291,5,25,6,25,2
"475","090_part_1_patch_1",1,511,12,5,6,33,6
"476","090_part_1_patch_2",1,504,8,7,6,16,4
"477","090_part_1_patch_3",1,519,11,5,10,10,8
"478","092_part_1_patch_1",2,641,18,7,5,8,29
"479","092_part_1_patch_2",2,717,16,33,6,5,22
"480","092_part_1_patch_3",2,536,13,33,5,34,21
"481","092_part_1_patch_4",2,424,11,31,6,6,16
