"","file","select_ref_id","num_cell","numlayer_output","K_kmeans_silhouette","K_GMM_BIC","K_Gap","K_dbscan"
"610","121_part_2_patch_1",1,481,14,5,7,5,24
"611","121_part_2_patch_2",1,633,18,5,5,35,27
"612","122_part_1_patch_1",2,486,11,5,6,22,17
"613","122_part_2_patch_1",1,1283,16,5,11,32,22
"614","122_part_2_patch_2",1,1386,20,5,8,7,43
"615","122_part_3_patch_1",1,1698,17,5,15,5,27
"616","122_part_3_patch_2",1,1753,18,5,11,5,9
"617","123_part_1_patch_1",1,482,12,25,5,31,12
"618","123_part_1_patch_2",1,897,17,5,5,23,46
"619","123_part_1_patch_3",1,651,18,5,6,11,24
"620","123_part_1_patch_4",1,596,16,5,5,31,28
"621","123_part_1_patch_5",1,400,16,34,5,16,22
"622","123_part_2_patch_1",2,395,12,5,8,34,18
"623","123_part_2_patch_2",2,412,14,5,5,23,20
"624","123_part_2_patch_3",2,438,12,5,6,18,21
"625","123_part_2_patch_4",2,478,17,5,8,21,22
"626","124_part_1_patch_1",2,827,20,24,5,19,34
"627","124_part_1_patch_2",2,648,17,35,5,31,38
"628","124_part_1_patch_3",2,975,19,28,5,5,31
"629","124_part_1_patch_4",2,1233,21,6,5,6,34
"630","124_part_2_patch_1",2,950,18,5,7,17,33
"631","124_part_2_patch_2",2,568,12,5,5,20,14
"632","125_part_1_patch_1",1,1035,19,25,6,7,21
"633","125_part_1_patch_2",1,1323,24,5,8,5,43
"634","125_part_1_patch_3",1,1329,19,5,9,9,36
"635","125_part_2_patch_1",1,1940,20,5,5,5,14
"636","125_part_2_patch_2",1,2268,22,5,7,6,16
"637","125_part_2_patch_3",1,1817,21,5,8,5,29
"638","126_part_1_patch_1",2,432,12,5,13,25,16
"639","126_part_1_patch_2",2,700,14,5,14,31,28
"640","126_part_1_patch_3",2,740,12,5,10,25,18
"641","126_part_2_patch_1",2,1184,19,5,7,8,31
"642","126_part_2_patch_2",2,1410,19,5,6,5,29
"643","126_part_2_patch_3",2,1195,20,5,5,5,30
"644","126_part_3_patch_1",2,1556,16,5,17,19,24
"645","127_part_1_patch_1",2,348,11,5,5,8,14
"646","127_part_1_patch_2",2,411,9,5,8,7,8
"647","127_part_1_patch_3",2,388,9,34,5,5,12
"648","128_part_1_patch_1",1,777,16,5,7,7,18
"649","128_part_1_patch_2",1,723,16,5,6,6,22
"650","130_part_1_patch_1",1,809,11,6,12,29,11
"651","130_part_1_patch_2",1,803,13,5,9,5,13
"652","131_part_1_patch_1",1,612,15,35,5,18,16
"653","131_part_1_patch_2",1,379,11,30,5,5,14
"654","132_part_1_patch_1",1,890,21,6,10,6,63
"655","132_part_1_patch_2",1,664,17,5,8,24,27
"656","132_part_2_patch_1",1,503,14,5,6,27,16
"657","132_part_2_patch_2",1,766,16,5,8,32,26
"658","132_part_2_patch_3",1,883,20,5,6,31,49
"659","133_part_1_patch_1",2,602,17,30,5,32,35
"660","133_part_1_patch_2",2,663,14,5,5,5,31
"661","133_part_1_patch_3",2,629,14,32,5,20,15
"662","133_part_2_patch_1",2,1029,12,5,10,22,12
"663","133_part_2_patch_2",2,975,15,5,14,31,23
"664","133_part_2_patch_3",1,1428,16,5,10,11,11
"665","134_part_1_patch_1",1,548,12,5,9,8,10
"666","134_part_1_patch_2",1,395,9,34,6,26,16
"667","134_part_1_patch_3",1,381,10,6,9,16,9
"668","134_part_1_patch_4",1,600,16,5,5,8,18
"669","134_part_2_patch_1",2,495,13,5,9,28,15
"670","134_part_2_patch_2",2,530,13,5,10,20,18
"671","134_part_2_patch_3",2,530,12,5,9,8,23
"672","134_part_2_patch_4",2,376,8,5,6,29,10
"673","135_part_1_patch_1",2,496,11,5,10,19,9
"674","135_part_1_patch_2",2,467,13,5,9,34,18
"675","135_part_1_patch_3",2,350,9,5,7,15,7
"676","135_part_1_patch_4",2,745,16,32,5,26,11
"677","135_part_2_patch_1",1,981,21,9,5,10,28
"678","135_part_2_patch_2",1,535,12,32,5,15,5
"679","135_part_2_patch_3",1,837,18,5,5,5,26
"680","136_part_2_patch_1",1,935,15,5,13,31,28
"681","136_part_2_patch_2",2,422,13,6,10,9,14
"682","136_part_2_patch_3",2,879,13,5,11,22,9
"683","136_part_3_patch_1",2,810,16,5,10,20,25
"684","136_part_3_patch_2",1,637,13,5,8,19,15
"685","137_part_1_patch_1",2,545,15,34,5,5,21
"686","137_part_1_patch_2",2,454,11,31,5,31,17
"687","137_part_1_patch_3",2,370,13,19,5,31,16
"688","137_part_2_patch_1",2,468,14,34,5,5,22
"689","137_part_2_patch_2",2,380,12,6,6,20,14
"690","137_part_3_patch_1",2,504,11,5,6,22,23
"691","137_part_3_patch_2",2,625,14,5,5,22,15
"692","137_part_3_patch_3",1,588,12,5,7,16,19
"693","137_part_4_patch_1",2,533,11,5,6,6,17
"694","137_part_4_patch_2",1,608,14,5,5,26,17
"695","137_part_4_patch_3",1,581,15,6,8,32,19
"696","138_part_1_patch_1",2,1731,19,5,5,25,4
"697","138_part_1_patch_2",2,875,12,5,7,14,8
"698","138_part_1_patch_3",1,492,12,5,6,21,14
"699","139_part_1_patch_1",1,1063,14,5,13,8,22
"700","139_part_1_patch_2",1,1064,15,5,9,5,19
"701","142_part_1_patch_1",1,1312,22,5,10,8,36
