"id","boundary_id","x","y"
194435,1,1302,69
183996,1,1208,110
147440,1,20,444
147238,2,2265,449
182067,1,132,119
121691,2,2320,763
14654,1,1099,1950
50671,1,1360,1448
197737,1,1332,30
34077,2,2448,1726
46694,1,1300,1515
98047,1,883,1005
170353,1,568,176
55293,1,1466,1378
130165,1,635,716
73561,1,1211,1280
64154,1,1042,1336
3964,1,757,1971
74978,2,2400,1273
139076,1,80,611
164582,1,809,197
97912,2,2386,1007
29848,2,2470,1787
194094,1,1285,71
103806,1,795,899
51054,2,2420,1442
43881,1,1241,1563
31590,1,1040,1761
146574,2,2266,463
44320,2,2428,1556
116759,1,288,795
39448,2,2439,1638
172523,1,482,165
138184,2,2283,627
129407,1,430,718
131016,1,442,712
46344,2,2427,1521
172192,1,526,167
176157,1,1032,147
19138,2,2473,1904
187911,1,187,91
178425,1,111,136
18344,1,716,1919
165299,1,795,195
156817,1,58,250
164009,1,642,198
188104,1,1239,91
44048,2,2446,1561
82894,2,2410,1222
187874,1,150,91
95931,1,903,1041
159394,2,2269,213
192254,2,2259,78
109372,1,77,842
111054,1,176,832
46257,1,1288,1522
93061,2,2390,1103
104154,1,800,892
138122,2,2280,628
111111,1,233,832
180522,1,93,126
131615,1,556,710
192495,1,1240,77
100317,2,2392,969
196920,1,1358,40
102579,1,800,923
114834,1,270,808
103160,1,813,912
145068,1,41,493
46057,2,2440,1526
52488,2,2431,1419
106482,1,119,861
103433,1,812,907
86690,1,1532,1201
187854,2,2277,92
128744,2,2312,722
183171,1,1186,114
123722,1,386,750
97035,1,871,1020
24012,1,866,1851
28929,1,961,1799
186689,1,1190,96
11256,2,2486,1958
62590,1,1494,1344
194162,1,316,70
1683,1,841,1979
94706,1,906,1067
133704,1,526,700
25440,1,902,1839
156352,2,2270,260
71292,1,1550,1293
46314,1,1286,1521
79044,1,1334,1247
173334,1,512,161
183959,1,1171,110
12576,1,1143,1955
46474,2,2432,1519
65040,1,1103,1331
59908,1,807,1353
40069,1,1194,1627
135554,2,2313,674
141733,2,2281,560
122528,1,347,757
38944,1,1156,1646
52964,2,2417,1412
148333,2,2256,425
133258,1,455,702
41326,1,1219,1606
70949,2,2414,1295
186950,2,2263,95
135396,1,113,676
109275,1,170,843
37966,2,2451,1663
150136,1,40,389
67489,1,1141,1316
86903,1,1554,1200
83811,2,2391,1216
191750,1,234,79
114290,1,794,812
49227,1,1356,1472
170465,2,2269,176
65868,1,1077,1326
10547,1,1172,1959
27071,2,2472,1823
144858,1,32,497
63434,1,1063,1340
173380,1,976,161
67615,1,1115,1315
171385,1,516,171
89617,1,893,1173
53670,2,2416,1402
162731,1,882,202
146758,1,35,459
7182,1,1351,1965
18185,2,2475,1922
120360,1,342,771
100935,1,811,957
159737,1,729,211
176589,1,1053,145
184015,2,2267,110
70023,1,1205,1300
182904,1,420,115
73905,1,819,1278
32812,2,2446,1744
163779,1,800,199
127677,1,608,727
113134,1,258,819
36979,1,1144,1679
79419,1,1581,1245
78707,1,838,1249
74585,1,1542,1275
158685,1,694,216
44924,1,1261,1545
44357,1,1261,1555
198906,2,2246,18
189446,1,1236,87
98516,1,843,998
76994,2,2390,1261
165491,1,561,194
170107,1,547,177
64018,1,1485,1337
109756,1,171,840
193886,1,1244,72
157690,1,55,232
33866,1,1090,1729
105199,2,2376,874
64507,1,1075,1334
190958,1,337,82
84854,1,1547,1210
163939,1,572,198
147559,2,2264,442
162821,1,599,201
32136,1,1047,1753
152682,1,66,338
119848,2,2319,775
140,1,1381,1996
77561,1,1328,1257
103266,1,807,910
175965,1,1034,148
197683,1,1368,31
10850,1,941,1958
178163,2,2272,138
21503,2,2469,1872
182985,1,1192,115
168014,1,584,186
70696,1,1202,1296
132711,1,523,705
13912,1,1136,1952
100702,2,2394,962
110102,1,208,838
137216,2,2298,644
183581,1,1195,112
82507,1,1404,1224
26098,1,871,1832
135158,2,2312,681
193547,1,316,73
83845,1,845,1215
87990,1,857,1193
46906,2,2431,1512
25572,2,2471,1838
109293,1,188,843
84148,2,2396,1214
128405,1,425,723
4102,1,895,1971
54487,1,1445,1390
190344,1,336,84
103489,1,816,906
4597,1,1283,1970
16247,1,1284,1946
147334,2,2269,447
46885,1,1311,1512
82137,1,833,1226
178007,1,437,138
63290,2,2414,1341
192611,1,212,76
59487,1,976,1355
109678,2,2358,841
61369,1,888,1348
156380,1,63,259
149951,2,2258,393
14491,2,2491,1951
12317,2,2495,1956
106629,1,131,860
18767,1,712,1911
138930,2,2291,614
9178,1,932,1961
184182,1,1189,109
30933,2,2465,1771
197864,1,1367,29
14217,1,1042,1951
142928,1,52,535
51429,1,1363,1435
91603,2,2404,1135
145235,2,2270,490
125187,1,131,741
193131,2,2271,75
162361,1,875,203
189070,1,373,88
