"id","boundary_id","x","y"
128500,1,169,41
70380,2,1606,989
124006,1,186,114
17222,1,1092,1678
74537,1,320,929
128260,2,1138,46
55127,1,801,1130
3640,1,1166,1926
126699,1,182,73
80409,2,1530,844
48289,2,1598,1228
75378,2,1570,917
115118,1,160,269
112986,1,148,307
32231,2,1641,1446
111518,2,1314,333
23982,1,1052,1575
13505,1,1130,1745
41951,2,1732,1298
4057,2,1686,1918
58636,2,1608,1088
13983,1,1116,1736
126439,1,176,77
55367,1,798,1127
106525,1,84,415
23722,2,1735,1580
12273,2,1650,1768
87290,2,1458,731
13766,1,1109,1740
63568,1,542,1036
97058,2,1425,567
79036,1,270,865
115667,2,1289,260
12045,2,1649,1772
56089,1,777,1118
73637,1,349,943
98002,1,68,555
36564,2,1678,1371
59125,2,1606,1082
93105,1,123,631
83943,1,195,790
57583,1,735,1100
16903,1,1099,1683
14361,1,1105,1729
35771,2,1656,1382
112857,1,136,309
37207,1,994,1362
62723,1,573,1040
80510,1,250,842
89739,2,1443,687
49860,2,1584,1210
83063,1,210,804
36665,1,996,1369
84243,2,1487,786
23434,2,1737,1585
50812,2,1571,1197
88033,2,1452,717
110412,1,108,351
68501,2,1608,1013
120575,2,1252,175
718,2,1692,1985
2562,2,1691,1948
32237,2,1647,1446
120243,2,1243,181
5540,1,1178,1889
92933,2,1438,635
69959,1,387,994
24960,1,1063,1558
124204,2,1205,111
75309,2,1571,918
8310,2,1665,1838
99186,2,1415,541
68885,1,406,1008
61767,2,1612,1050
44168,2,1668,1262
114434,1,136,281
39868,1,955,1333
23638,1,1067,1581
115262,2,1306,267
87626,1,190,724
57649,2,1606,1100
41945,2,1726,1298
87495,2,1460,727
43179,1,927,1274
37544,1,967,1358
75196,1,295,919
25137,2,1736,1555
37394,1,1010,1360
24134,2,1738,1573
85890,2,1479,758
117634,2,1282,227
74483,1,334,930
71974,1,358,968
122902,1,183,132
121373,2,1238,160
37927,2,1712,1355
11564,2,1658,1781
35500,1,1022,1386
93637,1,137,621
122095,1,171,146
119704,2,1247,191
107932,2,1336,392
31306,2,1658,1464
47724,2,1601,1234
87256,1,181,731
2484,1,1160,1949
112205,2,1328,321
5829,1,1166,1883
16233,2,1629,1695
80858,2,1503,837
23864,1,1052,1577
48899,1,916,1221
34751,2,1658,1399
21696,1,1063,1613
62012,2,1619,1047
129971,2,1147,14
4492,1,1168,1909
44212,2,1712,1262
7277,2,1681,1856
20375,2,1675,1635
62719,1,569,1040
25646,2,1751,1546
45679,1,924,1250
130483,1,189,4
130141,1,171,10
23480,2,1725,1584
41291,1,941,1310
74244,2,1602,934
48430,1,908,1226
118868,2,1254,206
119351,1,177,197
16263,1,1101,1694
14902,1,1110,1719
64731,1,558,1031
62644,1,642,1041
7482,1,1175,1852
76514,2,1574,902
12693,2,1640,1760
19662,1,1084,1644
98371,2,1396,551
50721,1,870,1198
22569,2,1725,1599
18586,2,1673,1658
117849,1,167,223
108941,1,89,374
31150,2,1664,1467
68526,1,416,1012
63438,1,629,1037
752,1,1174,1984
56549,2,1594,1113
114372,2,1318,283
88381,1,187,710
108982,2,1339,374
122018,2,1233,148
33551,2,1660,1421
82389,1,207,815
121926,2,1249,150
66054,1,466,1025
39070,2,1717,1343
5758,2,1695,1885
85598,2,1459,763
2354,1,1180,1952
24751,2,1740,1562
16627,2,1634,1688
26657,2,1736,1529
21850,2,1706,1611
22174,1,1057,1605
13050,1,1126,1753
127867,2,1142,53
82214,2,1495,818
69448,1,403,1001
13837,1,1126,1739
54018,1,809,1145
126896,2,1160,70
79908,1,238,851
36040,2,1661,1378
4454,1,1180,1910
28208,1,1046,1509
84017,1,206,789
62619,1,617,1041
16914,1,1110,1683
43556,2,1704,1269
105606,2,1372,430
129085,1,176,30
81359,1,241,830
23492,2,1737,1584
68511,2,1618,1013
70026,1,379,993
13106,1,1126,1752
65954,1,602,1026
56256,1,775,1116
63849,1,596,1035
113099,1,146,305
118408,1,178,214
31220,1,1035,1465
123638,1,179,120
127076,2,1161,67
112780,2,1331,311
50352,1,871,1203
105044,2,1351,439
46530,2,1636,1244
40424,1,943,1325
102862,1,42,476
